#OTU ID	LD.73	LD.11	LD.26	HD.61	LD.61	LD.77	LD.88	LD.63	LD.5	HD.65	LD.52	HD.50	LD.22	LD.76	LD.20	LD.19	LD.85	LD.69	HD.75	LD.66	HD.77	HD.11	LD.72	LD.92	HD.69	LD.94	LD.90	HD.20	HD.5	HD.83	HD.8	HD.22	LD.34	HD.73	HD.23	HD.62	LD.78	LD.97	HD.67	LD.81	LD.89	HD.79	LD.95	LD.59	LD.1	HD.63	LD.68	HD.48	LD.74	HD.1	HD.56	HD.53	LD.38	HD.12	HD.81	LD.39	HD.31	LD.91	LD.15	HD.80	LD.54	HD.60	HD.70	LD.42	HD.28	LD.80	LD.37	HD.35	HD.64	LD.75	LD.43	LD.58	LD.51	HD.32	LD.8	HD.7	HD.29	HD.72	HD.4	LD.35	HD.41	LD.57	HD.10	LD.53	HD.82	LD.17	LD.29	LD.3	HD.30	LD.60	HD.9	HD.68	LD.46	LD.41	LD.62	HD.42	HD.58	HD.46	LD.7	LD.93	LD.86	HD.36	HD.2	LD.96	HD.27	LD.14	HD.78	HD.34	HD.52	HD.40	LD.12	LD.84	HD.66	HD.24	HD.71	LD.83	LD.82	HD.21	LD.44	LD.23	HD.74	HD.76	LD.50	LD.79	LD.4	HD.33	LD.9	HD.51	HD.26	HD.14
k__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Dialister;s__Dialister_micraerophilus;t__Dialister_micraerophilus_DSM_19965	42	0	8	20	0	2	38	0	0	2	0	20	0	8	2	4	6	2	0	6	2	0	0	8	0	0	2	2	6	0	36	0	0	0	0	2	2	0	0	14	0	0	0	2	2	16	0	4	16	0	2	0	0	2	0	0	0	2	0	0	0	0	0	2	0	0	0	0	4	2	12	0	4	14	0	2	8	0	0	0	16	2	0	10	4	0	0	6	0	0	38	0	0	4	2	0	10	0	2	12	16	0	0	8	0	6	0	2	0	4	0	14	0	0	0	0	0	0	0	2	4	0	4	18	0	0	0	2	0	0
k__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Dialister;s__Dialister_micraerophilus	8	0	2	0	0	0	0	0	6	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	4	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	0	0	4	0	0	0	2	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	10	2	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	2	0	0	0	0
k__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Dialister;s__Dialister_succinatiphilus	12	0	0	54	0	0	0	0	4	0	54	0	4	6	0	0	2	0	0	0	0	0	0	0	0	0	2	38	24	0	216	0	0	0	2	0	0	0	0	8	0	0	2	748	0	66	2	10	60	18	4	18	0	12	0	2	0	0	0	0	0	8	0	0	2	0	0	4	6	0	4	0	0	90	306	0	24	10	0	0	62	0	0	4	0	0	0	4	0	0	114	0	0	10	6	0	2	0	0	16	0	0	0	0	2	0	0	14	4	2	0	86	0	0	12	0	0	0	0	0	0	0	180	4	0	394	0	8	0	2
k__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Megasphaera;s__Megasphaera_elsdenii;t__Megasphaera_elsdenii_DSM_20460	2	0	0	0	26	0	2	2	738	4	0	2	0	48	0	0	2	0	1932	2	10	0	6	2	2	868	2	874	0	0	0	2	0	0	2	0	4	0	0	0	2	0	14	0	0	0	2	0	426	30	0	0	0	0	0	0	0	0	244	0	0	0	0	0	0	6	0	0	2	4	6	2	0	16	63300	0	1298	0	0	4	0	8	0	2	4	0	0	2	0	4	688	2	0	306	2844	0	0	0	6	1160	0	2	2	0	0	2	0	0	0	0	0	5072	0	0	0	0	0	0	4	6	2	2	8664	8	0	12	0	0	0	0
k__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Megasphaera;s__Megasphaera_elsdenii	0	0	0	0	8	0	0	0	120	0	0	0	2	30	0	4	0	0	456	0	0	0	2	2	0	78	0	174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	136	10	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	6936	0	274	0	0	0	0	0	0	0	0	0	0	0	0	6	156	0	0	70	294	0	0	0	0	170	0	0	0	0	0	6	0	0	0	0	0	944	0	0	2	0	0	0	0	0	0	0	1958	0	0	2	0	0	0	0
k__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Megasphaera	0	12	0	0	2	4	16	0	46	0	0	36	0	4	0	0	12	0	182	14	0	0	0	4	0	52	0	112	0	6	0	0	0	0	0	0	16	16	0	0	2	0	0	0	0	0	0	0	24	8	0	0	8	0	0	0	0	20	46	0	4	56	0	2	0	10	0	0	2	2	16	0	12	18	2734	0	130	2	0	2	0	24	0	46	0	4	0	2	0	24	50	0	0	20	184	4	0	0	0	114	0	2	0	12	0	0	0	0	0	0	0	538	0	0	0	0	0	0	28	8	0	0	828	84	2	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Megasphaera;s__Megasphaera_massiliensis	0	2	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	6	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	2	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	2	0	0	4	498	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	16	34	0	0	0	0	18	0	0	0	0	0	2	0	0	0	0	0	30	0	0	2	0	0	0	0	0	0	0	158	2	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella;s__Veillonella_parvula	740	18	2152	0	9382	30448	16878	726	10566	36	604	31378	15988	17688	670	192	8990	17606	122	5680	30	14	56	18946	0	152	3748	108	8	2	42	4	2	14	34	460	5324	36	8	1044	70	388	718	718	1612	36	6494	70	13346	96	28196	1086	11524	4	36	6148	4	19766	8	16	7018	102	20	1146	18	13396	14	32	92	9974	29308	24	66986	26	5192	38	40	68	78	768	104	162586	8	79010	14	790	2	6044	240	3632	54	10	84	156	4656	4	8	110	64	2966	46234	4	4	13446	0	1090	18	70	68	220	4	458	38	10	140	90	9568	430	21762	6362	52	10	5080	84696	328	10	0	30	8	2
k__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella;s__Veillonella_montpellierensis;t__Veillonella_montpellierensis_DSM_17217	18	0	48	0	78	260	68	6	12	0	12	368	0	20	26	2	56	70	0	94	0	0	0	34	0	0	8	0	0	0	0	0	2	0	0	0	100	0	0	4	0	2	8	6	12	0	34	0	14	0	10	2	32	0	0	6	0	114	0	0	70	2	0	2	0	50	2	0	0	62	68	0	168	0	6	0	0	0	0	0	0	264	0	298	0	16	0	14	0	112	0	0	2	0	84	0	0	0	0	6	44	0	0	66	0	12	2	0	0	2	0	6	0	0	0	4	22	0	284	8	0	0	20	118	0	0	2	0	0	0
k__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella	26	4	246	2	324	4190	556	16	408	0	8	3722	270	304	106	18	692	340	12	358	2	0	8	420	0	2	74	2	0	0	14	0	0	0	0	20	1088	0	2	32	58	8	66	48	112	0	320	10	318	4	410	50	440	2	0	282	0	844	0	2	394	14	0	76	0	364	0	2	2	288	1312	2	1548	10	78	4	2	2	0	26	4	5044	0	4262	2	92	0	480	2	458	12	0	6	6	246	2	4	10	0	144	1066	0	0	594	0	62	0	0	4	14	0	44	6	0	2	8	198	16	2238	178	2	0	486	2522	4	0	0	2	0	0
k__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella;s__Veillonella_montpellierensis	10	0	28	0	28	128	16	2	8	0	0	144	0	8	0	2	14	26	0	22	0	0	0	4	0	0	2	2	0	0	0	0	0	0	0	0	34	0	0	8	0	0	0	2	2	0	16	0	6	2	0	0	14	0	0	0	0	42	0	0	14	0	0	0	0	18	0	0	0	24	36	0	132	0	0	0	0	0	0	0	0	64	0	214	0	0	0	18	0	32	0	0	0	0	18	0	0	0	0	0	6	0	0	42	0	4	0	0	0	0	0	0	0	0	0	0	8	4	84	12	0	0	10	102	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella;s__Veillonella_magna;t__Veillonella_magna_DSM_19857	2	4	12	2	12	38	26	0	20	0	4	76	10	6	0	0	4	0	0	2	2	0	2	2	0	0	2	0	0	0	2	0	0	2	0	0	40	2	0	0	0	0	0	6	0	0	16	0	2	0	0	4	14	4	0	2	10	26	0	0	6	12	0	2	0	14	0	0	0	10	46	0	4	2	0	6	0	2	0	98	4	0	0	132	6	2	0	24	0	2	0	0	0	0	0	2	10	0	0	10	2	2	2	24	2	0	0	0	2	4	0	0	0	0	0	2	2	0	40	8	2	0	6	26	0	4	0	0	2	0
k__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella;s__Veillonella_magna	0	0	2	0	2	12	0	0	0	2	0	16	0	2	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	6	0	0	0	0	0	4	0	0	0	0	4	0	0	0	2	2	0	4	0	0	0	2	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	2	14	0	0	0	0	2	2	2	0	2	2	0	0	36	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	2	8	2	2	0	2	6	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Tissierellia;o__Tissierellales;f__Peptoniphilaceae;g__Peptoniphilus;s__Peptoniphilus_lacrimalis;t__Peptoniphilus_lacrimalis_DSM_7455	26	8	208	54	96	32	2	30	8	4	8	120	2	16	8	10	16	6	4	90	6	0	0	34	0	16	0	4	2	0	68	0	6	0	4	2	72	12	0	232	206	4	4	8	8	2	12	0	266	0	8	6	6	0	0	4	8	6	0	0	32	0	4	0	36	28	0	8	24	196	54	0	22	4	2	12	0	6	0	76	10	168	8	114	44	4	0	26	4	54	24	4	0	2	0	0	484	0	2	48	18	0	0	6	0	2	6	4	12	20	0	76	0	0	24	0	16	2	124	0	36	0	10	46	0	0	0	2	6	4
k__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella;s__Veillonella_seminalis;t__Veillonella_seminalis_ACS-216-V-Col6b	64	262	84	106	6	100	372	4	16	96	66	144	66	186	12	4	180	8	44	6	14	130	8	4	8	28	42	102	100	136	208	192	6	72	104	532	216	96	64	36	2392	66	34	74	28	122	486	18	724	14	96	194	64	118	118	44	136	32	56	22	52	400	4	12	76	26	20	78	8	268	92	10	50	16	26	44	222	82	40	288	178	14	94	174	18	18	62	564	50	86	66	22	16	26	4	30	126	32	16	306	56	132	162	38	68	82	16	52	194	256	0	876	84	30	58	132	172	38	86	158	40	4	98	124	8	60	6	90	76	84
k__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella;s__Veillonella_seminalis	8	18	18	0	6	62	22	0	10	0	0	82	4	10	4	0	10	2	4	6	0	4	0	2	0	2	2	0	12	2	8	6	0	0	4	30	44	0	0	4	408	12	4	6	0	8	28	2	18	2	6	0	24	2	2	8	0	22	0	2	8	8	0	2	0	2	2	0	0	24	70	0	2	4	0	4	14	2	0	6	16	4	0	220	0	2	0	106	0	12	2	0	0	2	0	2	16	4	0	10	4	4	10	22	0	0	0	0	2	6	0	8	4	0	0	4	2	0	42	12	2	0	10	72	0	0	0	0	2	0
k__Bacteria;p__Firmicutes;c__Tissierellia;o__Tissierellales;f__Peptoniphilaceae;g__Peptoniphilus;s__Peptoniphilus_duerdenii;t__Peptoniphilus_duerdenii_ATCC_BAA-1640	18	38	10	10	18	4	8	38	0	4	0	36	10	0	4	0	16	0	4	4	40	14	2	54	0	2	46	4	4	0	12	12	0	10	4	4	0	20	6	6	4	2	2	14	2	14	12	0	102	10	12	20	0	6	2	2	0	42	0	4	0	8	0	0	0	98	2	8	44	22	20	0	2	0	0	2	4	2	6	28	8	0	0	0	8	0	0	8	16	152	0	2	0	2	4	0	18	0	0	14	48	4	10	8	0	0	4	0	0	18	0	6	4	4	2	106	8	2	56	4	2	6	4	12	0	12	4	0	4	0
k__Bacteria;p__Firmicutes;c__Tissierellia;o__Tissierellales;f__Peptoniphilaceae;g__Anaerococcus;s__Anaerococcus_obesiensis;t__Anaerococcus_obesiensis_ph10	44	14	64	4	14	30	16	8	0	4	4	6	8	4	8	0	36	20	2	4	14	8	18	6	2	0	4	8	2	6	100	6	4	0	2	6	4	4	0	28	6	0	6	0	0	2	26	4	8	2	6	6	0	0	0	0	2	0	0	0	0	30	4	0	46	6	2	22	0	64	18	0	20	4	6	0	4	4	0	28	6	2	6	4	18	0	0	8	0	8	2	4	4	0	0	0	274	18	4	12	16	4	4	0	4	0	2	0	22	42	0	8	2	0	2	10	2	4	4	4	0	0	0	18	6	10	0	2	8	6
k__Bacteria;p__Firmicutes;c__Tissierellia	2	0	430	0	0	0	0	0	0	0	0	12	0	2	0	2	16	0	0	32	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	2	0	0	0	0	0	0	0	520	0	0	0	0	0	0	0	0	0	0	0	6	0	2	0	0	0	0	0	2	0	0	0	18	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	8	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	2	0
k__Bacteria;p__Firmicutes;c__Tissierellia;o__;f__;g__Kallipyga;s__Kallipyga_massiliensis	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	2	0	0	0	0	52	0	2	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	4	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	2
k__Bacteria;p__Firmicutes;c__Tissierellia;o__Tissierellales;f__Peptoniphilaceae	34	6	24	2	2	46	8	12	14	4	0	38	8	8	0	0	12	8	12	8	14	2	0	8	2	2	0	6	4	2	52	2	2	0	0	4	4	6	0	52	14	4	0	2	0	4	8	0	64	2	4	2	10	0	0	0	6	20	0	0	6	2	4	0	8	4	0	14	8	44	12	0	6	12	2	2	6	8	0	8	8	14	10	8	72	0	0	16	0	2	6	6	0	2	0	2	82	2	2	2	10	0	0	6	0	0	0	2	2	6	0	10	0	2	8	4	0	0	48	2	12	0	4	24	4	2	0	0	0	0
k__Bacteria;p__Firmicutes;c__Tissierellia;o__;f__;g__Kallipyga;s__Kallipyga_massiliensis;t__Kallipyga_massiliensis_ph2	0	0	294	2	0	0	0	0	0	0	0	6	0	0	0	0	10	0	0	8	0	0	0	10	2	0	0	0	0	0	4	0	2	0	0	2	0	0	0	4	0	0	0	0	0	0	0	2	306	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	2	6	2	0	4	0	0	0	0	0	0	2	2	0	0	6	0	0	0	0	0	8	0	14	2	0	0	0	10	0	0	2	0	0	0	0	0	2	2	0	2	4	0	0	0	2	0	2	2	0	0	0	2	0	0	8	0	18	0	6	0	6
k__Bacteria;p__Firmicutes;c__Tissierellia;o__Tissierellales;f__Peptoniphilaceae;g__Anaerococcus;s__Anaerococcus_lactolyticus	4	0	8	0	2	0	0	0	0	0	0	6	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	4	0	0	4	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	2	4	0	0	0	0	0	0	0	0	0	0	0	2	0	8	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Tissierellia;o__Tissierellales;f__Peptoniphilaceae;g__Anaerococcus	16	0	0	0	2	4	0	2	0	0	0	4	2	4	0	0	14	0	2	4	2	0	0	0	0	0	0	0	4	0	2	0	0	0	0	0	0	2	0	8	6	0	0	0	2	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	12	0	0	4	0	2	2	0	0	0	2	0	0	4	0	24	0	0	2	0	0	0	0	0	0	0	0	8	0	0	0	4	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	6	0	2	0	0	2	4	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Tissierellia;o__Tissierellales;f__Peptoniphilaceae;g__Anaerococcus;s__Anaerococcus_lactolyticus;t__Anaerococcus_lactolyticus_ATCC_51172	72	6	0	0	2	8	2	2	0	0	6	12	0	0	0	0	22	2	2	24	2	2	0	6	0	2	0	0	0	0	32	0	0	0	0	0	2	4	0	22	0	0	0	0	0	0	2	2	24	0	4	0	0	0	0	0	0	0	0	0	2	0	0	0	6	0	0	0	2	10	2	2	2	0	0	2	0	0	0	0	2	6	0	2	10	0	0	2	0	2	0	0	0	0	0	0	8	0	0	4	8	0	0	0	0	0	0	0	2	0	0	0	0	0	4	2	0	2	2	0	0	0	0	6	0	0	0	0	2	0
k__Bacteria;p__Firmicutes;c__Tissierellia;o__Tissierellales;f__Peptoniphilaceae;g__Anaerococcus;s__Anaerococcus_obesiensis	12	2	6	0	6	4	2	0	0	2	0	0	2	0	0	0	4	10	0	0	2	0	2	0	8	0	0	2	0	0	14	2	0	0	0	0	0	0	0	16	0	0	0	0	0	2	14	0	4	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	10	2	0	2	0	14	0	0	10	0	0	0	0	0	0	10	2	0	2	6	8	0	0	4	2	0	2	0	0	0	0	0	66	2	0	4	2	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	4	2	4	0	0	2	4	6	0	0	0	4	0
k__Bacteria;p__Firmicutes;c__Tissierellia;o__Tissierellales;f__Peptoniphilaceae;g__Anaerococcus;s__Anaerococcus_pacaensis;t__Anaerococcus_pacaensis_9403502	0	0	2	0	0	2	0	2	0	0	0	2	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	4	0	0	0	0	0	2	0	0	0	0	0	0	0	4	12	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	2	0	0	0	0	0	0	0	0	6	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Tissierellia;o__Tissierellales;f__Peptoniphilaceae;g__Anaerococcus;s__Anaerococcus_pacaensis	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Tissierellia;o__Tissierellales;f__Peptoniphilaceae;g__Parvimonas;s__Parvimonas_micra	2	8	22	0	24	370	54	12	0	6	20	8	50	224	8	2	10	2	2	154	4	16	2	58	6	98	4	222	0	14	14	2	0	0	8	1292	22	26	4	26484	10	16	4	12	0	2	26	0	4	8	14	8	0	0	2	0	28	6	6	0	2	18	2	8	42	0	0	92	4	18	104	0	20	4	6	4	264	0	12	314	12	0	0	88	0	4	0	20	2	22	4	0	4	12	20	4	682	0	4	28	52	124	0	72	0	6	0	70	2	2	0	72	2	0	4	36	30	8	0	12	6	0	4	546	0	690	0	40	3180	0
k__Bacteria;p__Firmicutes;c__Tissierellia;o__Tissierellales;f__Peptoniphilaceae;g__Finegoldia;s__Finegoldia_magna;t__Finegoldia_magna_ATCC_29328	2	8	0	0	0	8	18	2	0	4	0	4	4	2	0	0	0	0	4	8	6	2	0	0	0	0	0	0	0	2	48	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	6	0	6	0	2	0	0	0	0	0	0	2	0	0	0	0	0	2	0	2	0	2	0	6	0	0	2	2	0	2	2	4	0	4	20	0	2	2	10	0	2	0	0	4	0	0	0	2	0	0	12	0	0	2	2	0	0	0	0	2	0	0	0	10	0	4	0	2	2	8	0	0	4	0	6	2	2	0	0	2	0	0	2	4
k__Bacteria;p__Firmicutes;c__Tissierellia;o__Tissierellales;f__Peptoniphilaceae;g__Anaerococcus;s__Anaerococcus_tetradius;t__Anaerococcus_tetradius_ATCC_35098	92	0	8	0	0	14	0	2	0	2	0	2	0	0	2	0	0	0	2	0	32	0	0	0	0	0	0	0	0	0	4	0	8	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	2	4	0	0	2	0	0	0	0	0	0	4	0	10	0	0	2	0	0	0	0	0	0	0	0	0	4	0	14	0	0	2	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	2	0	2	2	2	0	0	0	2	0
k__Bacteria;p__Firmicutes;c__Tissierellia;o__Tissierellales;f__Peptoniphilaceae;g__Anaerococcus;s__Anaerococcus_provenciensis	0	2	4	4	0	2	0	0	0	2	0	2	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	2	0	4	0	0	0	0	0	0	0	0	2	0	0	0	0	4	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	4	2	14	2	2	6	0	0	0	0	0	0	0	2	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Tissierellia;o__Tissierellales;f__Peptoniphilaceae;g__Anaerococcus;s__Anaerococcus_prevotii	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Tissierellia;o__Tissierellales;f__Peptoniphilaceae;g__Anaerococcus;s__Anaerococcus_prevotii;t__Anaerococcus_prevotii_DSM_20548	2	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	2	0	2	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	4	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	4	0	0	2	0	0	0	0	0	0	0	2	0	4	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Tissierellia;o__Tissierellales;f__Peptoniphilaceae;g__Finegoldia;s__Finegoldia_magna	0	0	0	0	0	4	4	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	4	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Tissierellia;o__Tissierellales;f__Peptoniphilaceae;g__Helcococcus;s__Helcococcus_kunzii;t__Helcococcus_kunzii_ATCC_51366	0	0	14	0	0	38	0	0	34	0	0	88	2	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	10	0	14	0	0	2	34	0	0	0	0	126	0	0	0	0	0	0	0	2	0	0	0	0	48	0	16	0	0	0	0	0	0	0	0	0	0	12	0	0	0	4	0	2	0	0	2	0	0	0	0	0	0	8	0	2	0	8	0	0	0	0	0	0	0	0	0	0	2	0	0	0	136	6	2	0	10	22	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Tissierellia;o__Tissierellales;f__Peptoniphilaceae;g__Helcococcus;s__Helcococcus_kunzii	0	0	0	0	0	4	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	6	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	6	0	0	2	4	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Tissierellia;o__Tissierellales;f__Peptoniphilaceae;g__Peptoniphilus	8	0	142	0	12	8	2	2	24	0	0	14	0	0	0	2	2	2	2	4	6	0	0	2	0	0	0	0	0	0	10	0	0	0	2	0	14	0	0	2	16	0	0	0	0	0	2	0	186	0	36	0	2	0	0	0	2	8	0	0	0	0	0	0	2	6	0	4	2	10	4	0	8	0	0	2	0	0	2	0	2	14	0	10	4	0	0	0	0	4	2	8	2	0	0	0	14	0	0	0	94	0	0	6	2	2	0	0	0	0	0	4	0	0	0	0	2	0	16	0	0	2	2	2	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Tissierellia;o__Tissierellales;f__Peptoniphilaceae;g__Peptoniphilus;s__Peptoniphilus_duerdenii	4	0	0	0	0	0	0	0	0	0	2	12	0	0	0	0	0	2	2	2	2	0	0	14	0	0	4	0	0	0	0	2	0	2	0	0	0	0	0	2	0	0	0	0	0	4	2	0	4	0	4	0	2	0	0	0	0	10	0	0	0	0	0	0	0	2	0	0	0	4	2	0	0	0	2	4	0	0	0	0	0	0	0	0	0	0	0	4	4	14	0	0	0	0	0	0	4	0	0	0	6	0	0	0	2	2	0	0	0	8	0	0	0	0	0	6	0	0	6	0	0	0	0	0	0	2	0	0	0	0
